order_id,customer_id,order_date,total_amount,status,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,payment_method,tax_amount,shipping_amount,discount_amount,grand_total
1,15,"2024-01-15 09:30:00",1148.00,"Delivered","486 Poplar Street, Charlotte, NC 28201","Charlotte","NC","28201","USA","Credit Card",68.88,0.00,20.00,1196.88
2,42,"2024-01-18 14:20:00",849.99,"Processing","693 Beech Drive, Virginia Beach, VA 23450","Virginia Beach","VA","23450","USA","PayPal",50.99,9.99,0.00,910.97
3,78,"2024-01-22 11:45:00",299.99,"Shipped","693 Oak Road, Reno, NV 89501","Reno","NV","89501","USA","Credit Card",18.00,5.99,15.00,308.98
4,3,"2024-01-25 16:10:00",180.00,"Delivered","789 Pine Street, Chicago, IL 60601","Chicago","IL","60601","USA","Apple Pay",10.80,0.00,0.00,190.80
5,91,"2024-01-28 13:35:00",599.00,"Processing","147 Maple Road, Spokane, WA 99201","Spokane","WA","99201","USA","Credit Card",35.94,8.99,25.00,618.93
6,56,"2024-02-01 10:00:00",3899.00,"Shipped","258 Oak Drive, Lexington, KY 40502","Lexington","KY","40502","USA","PayPal",233.94,0.00,100.00,4032.94
7,23,"2024-02-04 15:25:00",150.00,"Delivered","572 Oak Lane, Detroit, MI 48201","Detroit","MI","48201","USA","Credit Card",9.00,0.00,10.00,149.00
8,67,"2024-02-07 12:50:00",1099.00,"Processing","471 Oak Lane, Durham, NC 27701","Durham","NC","27701","USA","Apple Pay",65.94,0.00,50.00,1114.94
9,34,"2024-02-10 08:15:00",399.99,"Shipped","683 Spruce Drive, Sacramento, CA 95801","Sacramento","CA","95801","USA","Credit Card",24.00,4.99,0.00,428.98
10,89,"2024-02-13 17:40:00",229.00,"Delivered","825 Oak Avenue, Richmond, VA 23219","Richmond","VA","23219","USA","PayPal",13.74,0.00,15.00,227.74
11,12,"2024-02-16 14:05:00",749.99,"Processing","963 Magnolia Street, Jacksonville, FL 32099","Jacksonville","FL","32099","USA","Credit Card",45.00,9.99,30.00,774.98
12,45,"2024-02-19 11:30:00",499.99,"Shipped","936 Oak Avenue, Tulsa, OK 74101","Tulsa","OK","74101","USA","Apple Pay",30.00,0.00,25.00,504.99
13,78,"2024-02-22 16:55:00",89.50,"Delivered","693 Oak Road, Reno, NV 89501","Reno","NV","89501","USA","Credit Card",5.37,0.00,5.00,89.87
14,21,"2024-02-25 13:20:00",399.00,"Processing","356 Redwood Road, El Paso, TX 79901","El Paso","TX","79901","USA","PayPal",23.94,6.99,0.00,429.93
15,90,"2024-02-28 10:45:00",42.00,"Shipped","936 Pine Lane, Boise, ID 83701","Boise","ID","83701","USA","Credit Card",2.52,4.99,0.00,49.51
16,53,"2024-03-02 15:10:00",98.00,"Delivered","825 Beech Avenue, Santa Ana, CA 92701","Santa Ana","CA","92701","USA","Apple Pay",5.88,0.00,8.00,95.88
17,38,"2024-03-05 12:35:00",199.00,"Processing","258 Birch Road, Raleigh, NC 27601","Raleigh","NC","27601","USA","Credit Card",11.94,5.99,10.00,206.93
18,71,"2024-03-08 09:00:00",899.00,"Shipped","825 Birch Street, St. Petersburg, FL 33701","St. Petersburg","FL","33701","USA","PayPal",53.94,0.00,40.00,912.94
19,16,"2024-03-11 14:25:00",449.95,"Delivered","579 Sycamore Avenue, Indianapolis, IN 46201","Indianapolis","IN","46201","USA","Credit Card",27.00,0.00,20.00,456.95
20,84,"2024-03-14 11:50:00",153.00,"Processing","369 Hickory Street, Irving, TX 75014","Irving","TX","75014","USA","Apple Pay",9.18,4.99,0.00,167.17
21,29,"2024-03-17 16:15:00",699.00,"Shipped","248 Hickory Court, Milwaukee, WI 53201","Milwaukee","WI","53201","USA","Credit Card",41.94,0.00,30.00,710.94
22,62,"2024-03-20 13:40:00",125.00,"Delivered","825 Hickory Drive, Plano, TX 75023","Plano","TX","75023","USA","PayPal",7.50,0.00,5.00,127.50
23,95,"2024-03-23 10:05:00",199.99,"Processing","582 Hickory Drive, Modesto, CA 95350","Modesto","CA","95350","USA","Credit Card",12.00,5.99,15.00,202.98
24,8,"2024-03-26 15:30:00",1299.00,"Shipped","258 Walnut Street, San Diego, CA 92101","San Diego","CA","92101","USA","Apple Pay",77.94,0.00,60.00,1316.94
25,41,"2024-03-29 12:55:00",199.00,"Delivered","582 Aspen Avenue, Long Beach, CA 90801","Long Beach","CA","90801","USA","Credit Card",11.94,0.00,10.00,200.94
26,74,"2024-04-01 09:20:00",399.99,"Processing","258 Aspen Drive, Chandler, AZ 85224","Chandler","AZ","85224","USA","PayPal",24.00,6.99,0.00,430.98
27,17,"2024-04-04 14:45:00",159.95,"Shipped","684 Chestnut Drive, Seattle, WA 98101","Seattle","WA","98101","USA","Credit Card",9.60,4.99,8.00,166.54
28,50,"2024-04-07 12:10:00",162.00,"Delivered","582 Walnut Road, Aurora, CO 80010","Aurora","CO","80010","USA","Apple Pay",9.72,0.00,12.00,159.72
29,83,"2024-04-10 17:35:00",89.99,"Processing","258 Walnut Road, Norfolk, VA 23501","Norfolk","VA","23501","USA","Credit Card",5.40,4.99,5.00,94.38
30,26,"2024-04-13 14:00:00",349.99,"Shipped","815 Cedar Road, Memphis, TN 38101","Memphis","TN","38101","USA","PayPal",21.00,0.00,20.00,350.99
31,59,"2024-04-16 11:25:00",79.99,"Delivered","582 Cedar Lane, St. Louis, MO 63101","St. Louis","MO","63101","USA","Credit Card",4.80,0.00,7.00,77.79
32,92,"2024-04-19 16:50:00",149.99,"Processing","258 Cedar Street, Fremont, CA 94536","Fremont","CA","94536","USA","Apple Pay",9.00,5.99,0.00,164.98
33,5,"2024-04-22 13:15:00",499.99,"Shipped","654 Maple Drive, Phoenix, AZ 85001","Phoenix","AZ","85001","USA","Credit Card",30.00,0.00,25.00,504.99
34,48,"2024-04-25 10:40:00",229.95,"Delivered","369 Cedar Avenue, Cleveland, OH 44101","Cleveland","OH","44101","USA","PayPal",13.80,0.00,15.00,228.75
35,81,"2024-04-28 15:05:00",99.99,"Processing","936 Cedar Lane, North Las Vegas, NV 89030","North Las Vegas","NV","89030","USA","Credit Card",6.00,4.99,8.00,102.98
36,14,"2024-05-01 12:30:00",749.99,"Shipped","357 Willow Lane, Columbus, OH 43085","Columbus","OH","43085","USA","Apple Pay",45.00,0.00,35.00,759.99
37,67,"2024-05-04 09:55:00",139.00,"Delivered","471 Oak Lane, Durham, NC 27701","Durham","NC","27701","USA","Credit Card",8.34,0.00,10.00,137.34
38,30,"2024-05-07 14:20:00",899.00,"Processing","359 Aspen Lane, Albuquerque, NM 87101","Albuquerque","NM","87101","USA","PayPal",53.94,9.99,40.00,922.93
39,73,"2024-05-10 11:45:00",24.99,"Shipped","147 Hickory Road, Jersey City, NJ 07302","Jersey City","NJ","07302","USA","Credit Card",1.50,4.99,0.00,31.48
40,96,"2024-05-13 17:10:00",129.99,"Delivered","693 Aspen Road, Fontana, CA 92335","Fontana","CA","92335","USA","Apple Pay",7.80,0.00,8.00,129.79
41,19,"2024-05-16 13:35:00",449.99,"Processing","918 Hickory Lane, Washington, DC 20001","Washington","DC","20001","USA","Credit Card",27.00,6.99,20.00,463.98
42,52,"2024-05-19 10:00:00",79.50,"Shipped","693 Beech Lane, Santa Clarita, CA 91350","Santa Clarita","CA","91350","USA","PayPal",4.77,0.00,5.00,79.27
43,85,"2024-05-22 15:25:00",299.99,"Delivered","471 Aspen Lane, Chesapeake, VA 23320","Chesapeake","VA","23320","USA","Credit Card",18.00,0.00,15.00,302.99
44,8,"2024-05-25 12:50:00",159.95,"Processing","258 Walnut Street, San Diego, CA 92101","San Diego","CA","92101","USA","Apple Pay",9.60,4.99,8.00,166.54
45,41,"2024-05-28 09:15:00",3899.00,"Shipped","582 Aspen Avenue, Long Beach, CA 90801","Long Beach","CA","90801","USA","Credit Card",233.94,0.00,100.00,4032.94
46,94,"2024-05-31 14:40:00",89.99,"Delivered","471 Walnut Avenue, San Bernardino, CA 92401","San Bernardino","CA","92401","USA","PayPal",5.40,0.00,7.00,88.39
47,27,"2024-06-03 12:05:00",199.00,"Processing","147 Birch Road, San Antonio, TX 78201","San Antonio","TX","78201","USA","Credit Card",11.94,5.99,10.00,206.93
48,60,"2024-06-06 17:30:00",349.99,"Shipped","693 Birch Road, Cincinnati, OH 45201","Cincinnati","OH","45201","USA","Apple Pay",21.00,0.00,20.00,350.99
49,93,"2024-06-09 14:55:00",79.99,"Delivered","369 Birch Lane, Baton Rouge, LA 70801","Baton Rouge","LA","70801","USA","Credit Card",4.80,0.00,7.00,77.79
50,16,"2024-06-12 11:20:00",129.95,"Processing","579 Sycamore Avenue, Indianapolis, IN 46201","Indianapolis","IN","46201","USA","PayPal",7.80,4.99,0.00,142.74
51,49,"2024-06-15 16:45:00",449.00,"Shipped","471 Birch Drive, Bakersfield, CA 93301","Bakersfield","CA","93301","USA","Credit Card",26.94,0.00,25.00,450.94
52,82,"2024-06-18 13:10:00",99.99,"Delivered","147 Birch Avenue, Winston-Salem, NC 27101","Winston-Salem","NC","27101","USA","Apple Pay",6.00,0.00,8.00,97.99
53,25,"2024-06-21 10:35:00",199.99,"Processing","794 Maple Street, Las Vegas, NV 89101","Las Vegas","NV","89101","USA","Credit Card",12.00,5.99,15.00,202.98
54,58,"2024-06-24 15:00:00",299.99,"Shipped","471 Maple Street, Pittsburgh, PA 15201","Pittsburgh","PA","15201","USA","PayPal",18.00,0.00,20.00,297.99
55,91,"2024-06-27 12:25:00",89.50,"Delivered","147 Maple Road, Spokane, WA 99201","Spokane","WA","99201","USA","Credit Card",5.37,0.00,5.00,89.87
56,4,"2024-06-30 09:50:00",399.99,"Processing","321 Elm Road, Houston, TX 77001","Houston","TX","77001","USA","Apple Pay",24.00,6.99,0.00,430.98
57,77,"2024-07-03 14:15:00",159.00,"Shipped","582 Spruce Lane, Scottsdale, AZ 85250","Scottsdale","AZ","85250","USA","Credit Card",9.54,4.99,8.00,165.53
58,20,"2024-07-06 11:40:00",899.00,"Delivered","247 Beech Street, Boston, MA 02101","Boston","MA","02101","USA","PayPal",53.94,0.00,40.00,912.94
59,63,"2024-07-09 17:05:00",229.00,"Processing","936 Aspen Road, Lincoln, NE 68501","Lincoln","NE","68501","USA","Credit Card",13.74,0.00,15.00,227.74
60,96,"2024-07-12 13:30:00",79.99,"Shipped","693 Aspen Road, Fontana, CA 92335","Fontana","CA","92335","USA","Apple Pay",4.80,4.99,7.00,82.78
61,29,"2024-07-15 10:55:00",1499.00,"Delivered","248 Hickory Court, Milwaukee, WI 53201","Milwaukee","WI","53201","USA","Credit Card",89.94,0.00,75.00,1513.94
62,72,"2024-07-18 15:20:00",99.99,"Processing","936 Walnut Lane, Laredo, TX 78040","Laredo","TX","78040","USA","PayPal",6.00,4.99,0.00,110.98
63,15,"2024-07-21 12:45:00",449.95,"Shipped","486 Poplar Street, Charlotte, NC 28201","Charlotte","NC","28201","USA","Credit Card",27.00,0.00,20.00,456.95
64,48,"2024-07-24 09:10:00",153.00,"Delivered","369 Cedar Avenue, Cleveland, OH 44101","Cleveland","OH","44101","USA","Apple Pay",9.18,0.00,12.00,150.18
65,81,"2024-07-27 14:35:00",199.00,"Processing","936 Cedar Lane, North Las Vegas, NV 89030","North Las Vegas","NV","89030","USA","Credit Card",11.94,5.99,10.00,206.93
66,4,"2024-07-30 12:00:00",349.99,"Shipped","321 Elm Road, Houston, TX 77001","Houston","TX","77001","USA","PayPal",21.00,0.00,20.00,350.99
67,97,"2024-08-02 17:25:00",79.99,"Delivered","825 Redwood Street, Moreno Valley, CA 92553","Moreno Valley","CA","92553","USA","Credit Card",4.80,0.00,7.00,77.79
68,30,"2024-08-05 14:50:00",129.99,"Processing","359 Aspen Lane, Albuquerque, NM 87101","Albuquerque","NM","87101","USA","Apple Pay",7.80,4.99,8.00,133.78
69,73,"2024-08-08 11:15:00",449.99,"Shipped","147 Hickory Road, Jersey City, NJ 07302","Jersey City","NJ","07302","USA","Credit Card",27.00,6.99,20.00,463.98
70,16,"2024-08-11 16:40:00",79.50,"Delivered","579 Sycamore Avenue, Indianapolis, IN 46201","Indianapolis","IN","46201","USA","PayPal",4.77,0.00,5.00,79.27
71,59,"2024-08-14 13:05:00",299.99,"Processing","582 Cedar Lane, St. Louis, MO 63101","St. Louis","MO","63101","USA","Credit Card",18.00,0.00,15.00,302.99
72,92,"2024-08-17 10:30:00",159.95,"Shipped","258 Cedar Street, Fremont, CA 94536","Fremont","CA","94536","USA","Apple Pay",9.60,4.99,8.00,166.54
73,25,"2024-08-20 15:55:00",3899.00,"Delivered","794 Maple Street, Las Vegas, NV 89101","Las Vegas","NV","89101","USA","Credit Card",233.94,0.00,100.00,4032.94
74,68,"2024-08-23 12:20:00",89.99,"Processing","582 Pine Road, Chula Vista, CA 91909","Chula Vista","CA","91909","USA","PayPal",5.40,0.00,7.00,88.39
75,1,"2024-08-26 09:45:00",199.00,"Shipped","123 Main St, New York, NY 10001","New York","NY","10001","USA","Credit Card",11.94,5.99,10.00,206.93
76,44,"2024-08-29 14:10:00",349.99,"Delivered","825 Spruce Road, Minneapolis, MN 55401","Minneapolis","MN","55401","USA","Apple Pay",21.00,0.00,20.00,350.99
77,87,"2024-09-01 11:35:00",79.99,"Processing","693 Redwood Drive, Garland, TX 75040","Garland","TX","75040","USA","Credit Card",4.80,0.00,7.00,77.79
78,20,"2024-09-04 17:00:00",129.95,"Shipped","247 Beech Street, Boston, MA 02101","Boston","MA","02101","USA","PayPal",7.80,4.99,0.00,142.74
79,53,"2024-09-07 13:25:00",449.00,"Delivered","825 Beech Avenue, Santa Ana, CA 92701","Santa Ana","CA","92701","USA","Credit Card",26.94,0.00,25.00,450.94
80,86,"2024-09-10 10:50:00",99.99,"Processing","582 Beech Road, Glendale, AZ 85301","Glendale","AZ","85301","USA","Apple Pay",6.00,0.00,8.00,97.99
81,19,"2024-09-13 15:15:00",199.99,"Shipped","918 Hickory Lane, Washington, DC 20001","Washington","DC","20001","USA","Credit Card",12.00,5.99,15.00,202.98
82,62,"2024-09-16 12:40:00",299.99,"Delivered","825 Hickory Drive, Plano, TX 75023","Plano","TX","75023","USA","PayPal",18.00,0.00,20.00,297.99
83,95,"2024-09-19 09:05:00",89.50,"Processing","582 Hickory Drive, Modesto, CA 95350","Modesto","CA","95350","USA","Credit Card",5.37,0.00,5.00,89.87
84,28,"2024-09-22 14:30:00",399.99,"Shipped","137 Walnut Drive, Baltimore, MD 21201","Baltimore","MD","21201","USA","Apple Pay",24.00,6.99,0.00,430.98
85,71,"2024-09-25 11:55:00",159.00,"Delivered","825 Birch Street, St. Petersburg, FL 33701","St. Petersburg","FL","33701","USA","Credit Card",9.54,4.99,8.00,165.53
86,4,"2024-09-28 17:20:00",899.00,"Processing","321 Elm Road, Houston, TX 77001","Houston","TX","77001","USA","PayPal",53.94,0.00,40.00,912.94
87,97,"2024-10-01 13:45:00",229.00,"Shipped","825 Redwood Street, Moreno Valley, CA 92553","Moreno Valley","CA","92553","USA","Credit Card",13.74,0.00,15.00,227.74
88,30,"2024-10-04 10:10:00",79.99,"Delivered","359 Aspen Lane, Albuquerque, NM 87101","Albuquerque","NM","87101","USA","Apple Pay",4.80,4.99,7.00,82.78
89,63,"2024-10-07 15:35:00",1499.00,"Processing","936 Aspen Road, Lincoln, NE 68501","Lincoln","NE","68501","USA","Credit Card",89.94,0.00,75.00,1513.94
90,96,"2024-10-10 12:00:00",99.99,"Shipped","693 Aspen Road, Fontana, CA 92335","Fontana","CA","92335","USA","PayPal",6.00,4.99,0.00,110.98
91,19,"2024-10-13 09:25:00",449.95,"Delivered","918 Hickory Lane, Washington, DC 20001","Washington","DC","20001","USA","Credit Card",27.00,0.00,20.00,456.95
92,52,"2024-10-16 14:50:00",153.00,"Processing","693 Beech Lane, Santa Clarita, CA 91350","Santa Clarita","CA","91350","USA","Apple Pay",9.18,0.00,12.00,150.18
93,85,"2024-10-19 11:15:00",199.00,"Shipped","471 Aspen Lane, Chesapeake, VA 23320","Chesapeake","VA","23320","USA","Credit Card",11.94,5.99,10.00,206.93
94,8,"2024-10-22 16:40:00",349.99,"Delivered","258 Walnut Street, San Diego, CA 92101","San Diego","CA","92101","USA","PayPal",21.00,0.00,20.00,350.99
95,41,"2024-10-25 13:05:00",79.99,"Processing","582 Aspen Avenue, Long Beach, CA 90801","Long Beach","CA","90801","USA","Credit Card",4.80,0.00,7.00,77.79
96,94,"2024-10-28 10:30:00",129.99,"Shipped","471 Walnut Avenue, San Bernardino, CA 92401","San Bernardino","CA","92401","USA","Apple Pay",7.80,4.99,8.00,133.78
97,27,"2024-10-31 15:55:00",449.99,"Delivered","147 Birch Road, San Antonio, TX 78201","San Antonio","TX","78201","USA","Credit Card",27.00,6.99,20.00,463.98
98,60,"2024-11-03 12:20:00",79.50,"Processing","693 Birch Road, Cincinnati, OH 45201","Cincinnati","OH","45201","USA","PayPal",4.77,0.00,5.00,79.27
99,93,"2024-11-06 09:45:00",299.99,"Shipped","369 Birch Lane, Baton Rouge, LA 70801","Baton Rouge","LA","70801","USA","Credit Card",18.00,0.00,15.00,302.99
100,16,"2024-11-09 14:10:00",159.95,"Delivered","579 Sycamore Avenue, Indianapolis, IN 46201","Indianapolis","IN","46201","USA","Apple Pay",9.60,4.99,8.00,166.54