product_id,product_name,description,category,price,cost,sku,created_at,updated_at,is_active,vendor
1,"iPhone 15 Pro","Latest Apple smartphone with advanced camera system","Electronics",999.00,650.00,"APP-IP15P-128","2023-09-15 08:00:00","2024-01-10 14:30:00","true","Apple Inc"
2,"Samsung Galaxy S24","Premium Android phone with AI features","Electronics",849.99,520.00,"SAM-GS24-256","2024-01-20 09:15:00","2024-03-05 11:20:00","true","Samsung Electronics"
3,"MacBook Air M3","Lightweight laptop with M3 chip","Electronics",1099.00,750.00,"APP-MBA-M3-13","2024-03-08 10:30:00","2024-05-12 16:45:00","true","Apple Inc"
4,"Nike Air Max 270","Comfortable running shoes with air cushioning","Footwear",150.00,75.00,"NIKE-AM270-BLK","2023-11-10 14:20:00","2024-02-18 09:10:00","true","Nike"
5,"Levi's 501 Jeans","Classic straight fit jeans","Clothing",89.50,45.00,"LEVI-501-32B","2023-08-22 11:45:00","2024-01-05 13:25:00","true","Levi Strauss"
6,"KitchenAid Mixer","Stand mixer for baking and cooking","Home & Kitchen",299.99,180.00,"KA-SM-5QT-RED","2023-10-05 16:30:00","2024-03-20 10:15:00","true","KitchenAid"
7,"Sony WH-1000XM5","Noise-canceling wireless headphones","Electronics",399.99,220.00,"SONY-WH-XM5-BLK","2023-12-15 13:10:00","2024-04-08 15:40:00","true","Sony"
8,"Adidas Ultraboost","Performance running shoes","Footwear",180.00,90.00,"ADID-UB22-WHT","2024-02-12 08:45:00","2024-06-25 12:30:00","true","Adidas"
9,"Instant Pot Duo","7-in-1 pressure cooker","Home & Kitchen",79.99,45.00,"IP-DUO-6QT","2023-09-30 15:20:00","2024-02-14 14:50:00","true","Instant Brands"
10,"iPad Air","Thin and powerful tablet","Electronics",599.00,380.00,"APP-IPAIR-64","2024-03-25 11:35:00","2024-07-10 09:25:00","true","Apple Inc"
11,"Canon EOS R5","Professional mirrorless camera","Electronics",3899.00,2500.00,"CAN-EOS-R5-BDY","2023-11-28 14:55:00","2024-05-15 17:20:00","true","Canon"
12,"North Face Jacket","Waterproof outdoor jacket","Clothing",229.00,120.00,"TNF-JKT-PRM-BLK","2023-10-18 10:40:00","2024-03-12 11:05:00","true","The North Face"
13,"Dyson V15 Vacuum","Cordless stick vacuum cleaner","Home & Kitchen",749.99,450.00,"DYS-V15-DTCT","2024-01-08 09:50:00","2024-06-18 13:15:00","true","Dyson"
14,"PlayStation 5","Gaming console with 4K support","Electronics",499.99,350.00,"SONY-PS5-STD","2023-12-05 16:25:00","2024-04-22 10:45:00","true","Sony"
15,"Yeti Rambler","Insulated stainless steel bottle","Outdoor",42.00,18.00,"YETI-RMB-26OZ","2023-11-15 12:30:00","2024-02-28 15:55:00","true","Yeti"
16,"Lululemon Leggings","High-performance yoga pants","Clothing",98.00,55.00,"LULU-ALIGN-25","2024-02-22 14:15:00","2024-07-05 08:40:00","true","Lululemon"
17,"Nespresso Machine","Coffee and espresso maker","Home & Kitchen",199.00,110.00,"NES-VRTUO-PLUS","2023-10-30 13:45:00","2024-03-25 12:20:00","true","Nespresso"
18,"Apple Watch Series 9","Smartwatch with health monitoring","Electronics",399.00,240.00,"APP-AW9-45MM","2023-12-10 11:20:00","2024-05-30 14:35:00","true","Apple Inc"
19,"Patagonia Fleece","Sustainable recycled fleece","Clothing",139.00,70.00,"PAT-SYNCH-FLC","2023-11-05 15:35:00","2024-04-18 09:50:00","true","Patagonia"
20,"Bose Soundbar","Home theater sound system","Electronics",899.00,550.00,"BOSE-SB-900","2024-01-25 10:10:00","2024-08-12 16:25:00","true","Bose"
21,"Vitamix Blender","High-performance kitchen blender","Home & Kitchen",449.95,280.00,"VITA-5200-RED","2023-09-20 14:50:00","2024-02-10 11:30:00","true","Vitamix"
22,"Ray-Ban Sunglasses","Classic aviator sunglasses","Accessories",153.00,75.00,"RAYB-AVIATOR","2023-10-12 08:35:00","2024-03-08 13:45:00","true","Ray-Ban"
23,"Google Pixel 8","Android phone with advanced AI","Electronics",699.00,420.00,"GOOG-PXL8-128","2023-12-18 12:40:00","2024-06-20 10:15:00","true","Google"
24,"Under Armour Shoes","Athletic training shoes","Footwear",125.00,65.00,"UA-HOVR-PHNTM","2024-03-15 16:05:00","2024-08-05 14:50:00","true","Under Armour"
25,"All-Clad Pan","Professional cookware set","Home & Kitchen",199.99,110.00,"ALLCLD-D3-10IN","2023-11-22 09:25:00","2024-05-08 15:35:00","true","All-Clad"
26,"Microsoft Surface","2-in-1 laptop and tablet","Electronics",1299.00,850.00,"MS-SURF-PRO9","2024-02-05 13:55:00","2024-07-22 12:10:00","true","Microsoft"
27,"Columbia Jacket","Insulated winter jacket","Clothing",199.00,100.00,"COL-OMNI-HEAT","2023-10-25 11:15:00","2024-04-05 08:30:00","true","Columbia"
28,"GoPro Hero 12","Action camera for adventures","Electronics",399.99,220.00,"GOPRO-HERO12","2023-12-20 14:45:00","2024-06-15 17:05:00","true","GoPro"
29,"Cuisinart Toaster","4-slice stainless steel toaster","Home & Kitchen",79.95,45.00,"CUIS-TOB-4S","2023-11-08 10:05:00","2024-03-15 14:25:00","true","Cuisinart"
30,"Fitbit Charge 6","Advanced fitness tracker","Electronics",159.95,85.00,"FITBIT-CHRG6","2024-01-15 15:30:00","2024-08-08 11:40:00","true","Fitbit"
31,"Oakley Sunglasses","Sport performance sunglasses","Accessories",162.00,80.00,"OAK-FLAK-JKT","2024-02-28 12:20:00","2024-07-18 09:55:00","true","Oakley"
32,"Calphalon Pan","Non-stick cookware","Home & Kitchen",89.99,50.00,"CALP-CLSS-10IN","2023-10-08 16:40:00","2024-04-12 13:15:00","true","Calphalon"
33,"ASUS Laptop","Gaming laptop with RTX graphics","Electronics",1499.00,950.00,"ASUS-ROG-ZEPH","2024-03-12 08:20:00","2024-09-05 15:50:00","true","ASUS"
34,"Brooks Shoes","Running shoes for marathon training","Footwear",140.00,70.00,"BRK-GHOST-15","2023-11-30 14:10:00","2024-05-25 10:35:00","true","Brooks"
35,"Kitchen Scale","Digital food scale","Home & Kitchen",24.99,12.00,"OXO-SCALE-11LB","2023-12-08 11:50:00","2024-06-28 14:45:00","true","OXO"
36,"JBL Speaker","Portable Bluetooth speaker","Electronics",129.95,70.00,"JBL-FLIP6-BLK","2024-01-30 13:25:00","2024-08-20 12:00:00","true","JBL"
37,"Carhartt Jacket","Durable work jacket","Clothing",89.99,45.00,"CRHRT-JKT-DUCK","2023-10-15 09:45:00","2024-04-28 16:30:00","true","Carhartt"
38,"Ninja Blender","Professional countertop blender","Home & Kitchen",99.99,55.00,"NINJA-BL642","2023-11-25 15:15:00","2024-06-10 08:55:00","true","Ninja"
39,"Garmin Watch","GPS smartwatch for outdoor activities","Electronics",349.99,200.00,"GRMN-FENIX-7","2024-02-15 10:35:00","2024-09-12 14:20:00","true","Garmin"
40,"Herschel Backpack","Classic laptop backpack","Accessories",79.99,35.00,"HERSCH-LTT-25L","2023-12-12 12:55:00","2024-07-05 11:10:00","true","Herschel"
41,"Weber Grill","Portable charcoal grill","Outdoor",149.00,80.00,"WEBR-GO-14IN","2024-04-05 16:15:00","2024-10-08 09:40:00","true","Weber"
42,"Samsung TV","4K QLED smart TV","Electronics",1199.99,750.00,"SAM-QN65Q80C","2024-01-18 14:05:00","2024-08-15 13:25:00","true","Samsung Electronics"
43,"Coleman Tent","4-person camping tent","Outdoor",129.99,65.00,"COL-SUNDOME-4","2024-03-22 08:50:00","2024-09-25 15:05:00","true","Coleman"
44,"Kitchen Timer","Magnetic digital timer","Home & Kitchen",14.99,7.00,"TIME-DIGI-MAG","2023-12-25 11:30:00","2024-07-30 10:55:00","true","Taylor"
45,"New Balance Shoes","Walking shoes for comfort","Footwear",134.99,65.00,"NB-847V4-GRY","2024-02-08 13:40:00","2024-08-28 12:15:00","true","New Balance"
46,"Logitech Mouse","Wireless computer mouse","Electronics",79.99,35.00,"LOG-MX-MASTER3","2023-11-17 15:55:00","2024-06-22 14:30:00","true","Logitech"
47,"Stanley Cup","Insulated travel mug","Outdoor",45.00,20.00,"STAN-QT-TUMBLR","2024-01-05 09:10:00","2024-09-18 16:45:00","true","Stanley"
48,"Lacoste Shirt","Classic polo shirt","Clothing",95.00,45.00,"LAC-POLO-CLSS","2023-10-28 12:25:00","2024-05-20 08:50:00","true","Lacoste"
49,"Kitchen Knife","8-inch chef's knife","Home & Kitchen",129.99,65.00,"WSTH-CHEF-8IN","2023-12-30 14:50:00","2024-08-05 11:35:00","true","WÃ¼sthof"
50,"Beats Headphones","Wireless over-ear headphones","Electronics",349.99,190.00,"BEATS-STUDIO3","2024-02-25 10:15:00","2024-10-10 13:40:00","true","Beats"
51,"Hydro Flask","Insulated water bottle","Outdoor",44.95,20.00,"HYDRO-32OZ-STD","2023-11-12 16:30:00","2024-06-15 09:05:00","true","Hydro Flask"
52,"Tommy Hilfiger Shirt","Casual button-down shirt","Clothing",79.50,35.00,"TOMMY-CBD-CLSS","2024-03-05 13:20:00","2024-09-08 15:55:00","true","Tommy Hilfiger"
53,"Kitchen Utensils","14-piece silicone utensil set","Home & Kitchen",39.99,18.00,"UTNSL-SET-14PC","2023-12-03 11:45:00","2024-07-12 10:10:00","true","Cuisinart"
54,"Razer Keyboard","Mechanical gaming keyboard","Electronics",149.99,80.00,"RAZ-BLKWID-V3","2024-01-22 14:35:00","2024-08-25 12:00:00","true","Razer"
55,"Vans Shoes","Classic skate shoes","Footwear",64.99,30.00,"VANS-OLD-SKOOL","2023-10-05 08:25:00","2024-05-15 17:10:00","true","Vans"
56,"Kitchen Towels","6-pack cotton kitchen towels","Home & Kitchen",24.99,10.00,"TOWL-COT-6PK","2023-11-20 15:40:00","2024-06-30 14:05:00","true","Williams Sonoma"
57,"Anker Charger","100W USB-C charging station","Electronics",89.99,45.00,"ANK-767-CHRGR","2024-02-18 12:05:00","2024-09-22 08:30:00","true","Anker"
58,"Le Creuset Pot","Enameled cast iron Dutch oven","Home & Kitchen",379.00,200.00,"LECR-DUTCH-5QT","2023-12-28 09:50:00","2024-08-15 16:15:00","true","Le Creuset"
59,"Converse Shoes","Classic high-top sneakers","Footwear",65.00,30.00,"CONV-CHUCK-70","2024-03-18 14:15:00","2024-10-05 11:50:00","true","Converse"
60,"Kitchen Spices","12-piece spice jar set","Home & Kitchen",49.99,22.00,"SPICE-SET-12","2023-10-22 11:00:00","2024-06-05 13:25:00","true","McCormick"
61,"Dell Monitor","27-inch 4K computer monitor","Electronics",399.99,220.00,"DELL-U2723QE","2024-01-12 16:45:00","2024-09-10 09:20:00","true","Dell"
62,"Kitchen Apron","Professional chef's apron","Home & Kitchen",29.99,12.00,"APRN-CHEF-BLK","2023-11-07 13:10:00","2024-07-18 15:35:00","true","Chef Works"
63,"Nikon Lens","50mm f/1.8 prime lens","Electronics",229.95,120.00,"NIK-50MM-F18","2024-02-20 08:35:00","2024-10-12 14:00:00","true","Nikon"
64,"Kitchen Cutting Board","Bamboo cutting board set","Home & Kitchen",34.99,15.00,"CUTBRD-BMB-3PC","2023-12-15 10:20:00","2024-08-20 12:45:00","true","Totally Bamboo"
65,"Samsung Tablet","Android tablet with S Pen","Electronics",349.99,200.00,"SAM-TAB-S9-FE","2024-03-28 15:55:00","2024-11-05 08:10:00","true","Samsung Electronics"
66,"Kitchen Oven Mitts","Heat-resistant silicone mitts","Home & Kitchen",19.99,8.00,"OVEN-MITT-SIL","2023-10-14 12:30:00","2024-07-05 16:50:00","true","Ove Glove"
67,"LG Soundbar","3.1 channel sound system","Electronics",449.99,260.00,"LG-SNC4R-31CH","2024-01-28 14:05:00","2024-10-18 10:30:00","true","LG Electronics"
68,"Kitchen Colander","Stainless steel colander","Home & Kitchen",22.99,10.00,"COLNDR-SS-5QT","2023-11-14 09:15:00","2024-08-08 13:40:00","true","Cuisinart"
69,"Apple Pencil","Digital stylus for iPad","Electronics",129.00,65.00,"APP-PENCIL-2","2023-12-22 16:20:00","2024-09-15 11:55:00","true","Apple Inc"
70,"Kitchen Measuring Cups","Stainless steel measuring set","Home & Kitchen",29.99,12.00,"MEAS-CUP-SS-7","2024-02-10 11:45:00","2024-10-25 15:10:00","true","OXO"
71,"Bose Earbuds","Wireless noise canceling earbuds","Electronics",279.00,150.00,"BOSE-QC-EARBUDS","2024-03-02 13:20:00","2024-11-08 09:45:00","true","Bose"
72,"Kitchen Grater","4-sided stainless steel grater","Home & Kitchen",24.99,10.00,"GRATER-SS-4SID","2023-10-07 15:35:00","2024-08-12 14:00:00","true","Microplane"
73,"Microsoft Xbox","Series X gaming console","Electronics",499.99,350.00,"MS-XBOX-SERX","2023-12-07 08:50:00","2024-09-20 16:25:00","true","Microsoft"
74,"Kitchen Peeler","Swivel vegetable peeler","Home & Kitchen",12.99,5.00,"PEELER-SWIVEL","2023-11-03 10:25:00","2024-08-28 12:50:00","true","Kuhn Rikon"
75,"Sony Camera","Alpha a7 III mirrorless camera","Electronics",1999.00,1200.00,"SONY-A7III-BDY","2024-01-14 14:40:00","2024-10-30 08:05:00","true","Sony"
76,"Kitchen Thermometer","Instant-read digital thermometer","Home & Kitchen",39.99,18.00,"THERM-DIGI-INST","2023-10-29 12:05:00","2024-09-05 15:30:00","true","ThermoWorks"
77,"HP Printer","Wireless all-in-one printer","Electronics",149.99,80.00,"HP-ENVY-6055","2024-02-14 16:50:00","2024-11-12 11:15:00","true","HP"
78,"Kitchen Funnel","Stainless steel funnel set","Home & Kitchen",18.99,8.00,"FUNNEL-SS-3PC","2023-12-05 09:35:00","2024-10-08 13:00:00","true","Norpro"
79,"Amazon Echo","Smart speaker with Alexa","Electronics",99.99,50.00,"AMZN-ECHO-4GEN","2024-03-20 11:10:00","2024-11-25 14:35:00","true","Amazon"
80,"Kitchen Sifter","Flour sifter with crank handle","Home & Kitchen",21.99,9.00,"SIFTER-CRNK-4C","2023-11-27 13:45:00","2024-10-15 10:10:00","true","RSVP"
81,"DJI Drone","Mini 3 pro aerial drone","Electronics",759.00,450.00,"DJI-MINI3-PRO","2024-01-07 15:20:00","2024-12-05 16:45:00","true","DJI"
82,"Kitchen Whisk","Stainless steel balloon whisk","Home & Kitchen",14.99,6.00,"WHISK-SS-10IN","2023-10-17 08:05:00","2024-09-22 12:20:00","true","Cuisinart"
83,"Lenovo Laptop","ThinkPad business laptop","Electronics",1299.00,800.00,"LEN-THNKPD-X1","2024-02-24 10:40:00","2024-12-18 09:05:00","true","Lenovo"
84,"Kitchen Tongs","12-inch stainless steel tongs","Home & Kitchen",16.99,7.00,"TONGS-SS-12IN","2023-12-13 12:15:00","2024-11-08 14:40:00","true","OXO"
85,"Google Nest","Smart home thermostat","Electronics",129.99,65.00,"GOOG-NEST-LRN","2024-03-25 14:50:00","2024-12-22 08:15:00","true","Google"
86,"Kitchen Brush","Silicone basting brush","Home & Kitchen",9.99,4.00,"BRUSH-SIL-BASTE","2023-11-09 16:25:00","2024-10-28 11:50:00","true","KitchenAid"
87,"Roku Streaming","4K streaming stick","Electronics",49.99,25.00,"ROKU-ULTRA-4K","2024-01-21 09:00:00","2024-12-15 15:25:00","true","Roku"
88,"Kitchen Scraper","Silicone spatula scraper","Home & Kitchen",12.99,5.00,"SCRAP-SIL-FLEX","2023-10-03 11:35:00","2024-11-18 13:00:00","true","Rubbermaid"
89,"Ring Doorbell","Video doorbell with motion detection","Electronics",99.99,50.00,"RING-DOOR-VID","2024-02-17 13:10:00","2024-12-28 10:35:00","true","Ring"
90,"Kitchen Ladle","Stainless steel soup ladle","Home & Kitchen",15.99,6.00,"LADLE-SS-16OZ","2023-12-20 15:45:00","2024-12-08 12:10:00","true","Cuisinart"
91,"Fitbit Watch","Versa 4 fitness smartwatch","Electronics",229.95,120.00,"FITBIT-VERSA4","2024-03-15 08:20:00","2025-01-05 16:55:00","true","Fitbit"
92,"Kitchen Skimmer","Stainless steel skimmer","Home & Kitchen",18.99,8.00,"SKIMMER-SS-6IN","2023-11-23 10:55:00","2024-12-12 09:20:00","true","RSVP"
93,"Apple TV","4K media streaming device","Electronics",129.00,65.00,"APP-ATV-4K","2024-01-31 12:30:00","2025-01-20 14:45:00","true","Apple Inc"
94,"Kitchen Spoon","Slotted stainless steel spoon","Home & Kitchen",13.99,5.00,"SPOON-SS-SLOT","2023-10-26 14:05:00","2024-12-25 11:30:00","true","OXO"
95,"Sonos Speaker","Wireless home speaker","Electronics",219.00,110.00,"SONOS-ONE-SL","2024-02-28 16:40:00","2025-01-15 08:05:00","true","Sonos"
96,"Kitchen Turner","Stainless steel turner","Home & Kitchen",14.99,6.00,"TURNER-SS-FISH","2023-12-10 09:15:00","2024-12-30 15:40:00","true","Cuisinart"
97,"Google Chromecast","HD streaming device","Electronics",29.99,15.00,"GOOG-CHRM-HD","2024-03-08 11:50:00","2025-01-25 13:15:00","true","Google"
98,"Kitchen Mallet","Meat tenderizer mallet","Home & Kitchen",22.99,9.00,"MALLET-MEAT-TND","2023-11-16 13:25:00","2025-01-10 10:50:00","true","Lekue"
99,"Netflix Gift Card","$50 digital gift card","Gift Cards",50.00,45.00,"NFTX-GIFT-50","2024-01-26 15:00:00","2025-02-05 12:25:00","true","Netflix"
100,"Amazon Gift Card","$100 physical gift card","Gift Cards",100.00,90.00,"AMZN-GIFT-100","2024-03-30 08:35:00","2025-02-20 14:00:00","true","Amazon"